noise,env,model,n_train,n_seeds,one_step_mse_mean,valid_steps_mean,energy_max_drift_mean,divergence_rate_mean,one_step_mse_std,valid_steps_std,energy_max_drift_std,divergence_rate_std
noisy,Acrobot,Structured_HNN,4000,5,0.0033258846029639243,35.44,8.471007137298583,0.0,0.0003133120395524315,4.540308359572067,3.3733272342882676,0.0
noisy,Acrobot,Vanilla_GP,4000,5,0.013381203450262547,59.28000000000001,12.928536224365235,0.0,0.0009682870171049804,9.971639784910002,4.447198355151026,0.0
noisy,Acrobot,Vanilla_MLP,4000,5,0.010231291130185127,29.560000000000002,19.30538558959961,0.0,0.0006905157086907011,2.148115453135609,1.20203874814896,0.0
noisy,Pendubot,Hamiltonian_NN,4000,5,0.019638575613498688,11.92,998.4239404296875,0.2,0.0006398313505019391,0.2993325909419156,3.1521191406250177,0.1264911064067352
noisy,Pendubot,Lagrangian_GP,4000,5,0.003884026547893882,32.67999999999999,10.875215349197388,0.0,0.0009075319320257009,6.470363204643151,6.126240608809756,0.0
noisy,Pendubot,Lagrangian_NN,4000,5,0.004064141120761633,28.4,10.194782915115358,0.0,0.0010616354279592618,7.386474125047755,5.835354949345157,0.0
noisy,Pendubot,Polynomial,4000,5,0.053264818340539935,17.28,496.9120621109008,0.2,0.0004239292467905628,0.7959899496852958,103.42612167001953,0.1264911064067352
noisy,Pendubot,Structured_HNN,4000,5,0.004064140887930989,28.4,10.19482620239258,0.0,0.0010616354011524708,7.386474125047755,5.835316929730747,0.0
noisy,Pendubot,Vanilla_GP,4000,5,0.010015727020800114,59.96,16.08416029930115,0.0,0.0014027750935350226,12.630376083078446,6.615543614990049,0.0
noisy,Pendubot,Vanilla_MLP,4000,5,0.009596782363951206,28.28,17.014139785766602,0.0,0.0008176282623554498,2.2929457036746417,1.1468153414711277,0.0
